Judet,Invatamant,Transporturi,Asigurari,Servicii Publice Generale,Dezvoltare Publica,Cultura,Protectia Mediului,Sanatate,Energie,Apaare,Altele
ALBA,228160000,153320000,120700000,101420000,72400000,69970000,28220000,15850000,0,8680000,8130000
ARAD,274750000,190260000,132870000,163950000,88920000,91870000,53060000,13810000,23810000,11200000,8090000
ARGES,443310000,217400000,186440000,151310000,159630000,134300000,73550000,28890000,29280000,14960000,16600000
BACAU,412040000,193660000,186390000,172980000,87060000,74930000,63680000,22080000,65540000,15010000,11390000
BIHOR,424300000,283070000,185590000,130200000,147640000,106420000,57330000,16980000,80730000,8390000,49530000
BISTRITA-NASAUD,221260000,232640000,98020000,88520000,107040000,46190000,49000000,15750000,0,8200000,0
BOTOSANI,305040000,173180000,111250000,94990000,49350000,54660000,43640000,31850000,17470000,8800000,3220000
BRAILA,220550000,139160000,97280000,77190000,59150000,37470000,24760000,23750000,0,11110000,5480000
BRASOV,346030000,299510000,146010000,166890000,137320000,107140000,76340000,16200000,50640000,16590000,25100000
BUCURESTI,1420000000,1360000000,684180000,874060000,693880000,928670000,594230000,246430000,610290000,154820000,3890000
BUZAU,323020000,142890000,135220000,113500000,67500000,56790000,43060000,28280000,46120000,18490000,5650000
CALARASI,188730000,82390000,115660000,81430000,45290000,37920000,44770000,16680000,2090000,4950000,6700000
CARAS-SEVERIN,193540000,78090000,107570000,108560000,108560000,47690000,94170000,27180000,2540000,11080000,26160000
CLUJ,471950000,408400000,227320000,255600000,159940000,105740000,88880000,30200000,38510000,16410000,32920000
CONSTANTA,420870000,183490000,199670000,208100000,414120000,132660000,123410000,54900000,94330000,29350000,15370000
COVASNA,169820000,72330000,55470000,63400000,48050000,41990000,41320000,5720000,263962,4880000,10240000
DAMBOVITA,325640000,181150000,157910000,143700000,150980000,59210000,56680000,18380000,2880000,9790000,12180000
DOLJ,423410000,229420000,150310000,184240000,127720000,119530000,55280000,35350000,12820000,19190000,18240000
GALATI,369020000,173250000,139510000,114490000,82440000,86330000,63140000,33390000,35720000,20600000,3650000
GIURGIU,138790000,98960000,87040000,77260000,77700000,23080000,13230000,5290000,9300000,6390000,7750000
GORJ,293660000,146210000,111580000,121170000,76820000,41640000,28320000,9140000,5120000,6440000,2050000
HARGHITA,266830000,159110000,77710000,89710000,43730000,60680000,31160000,9140000,17920000,5940000,18640000
HUNEDOARA,293200000,180950000,147240000,126610000,124520000,68010000,81650000,32260000,13590000,9890000,90890000
IALOMITA,180560000,74820000,70560000,76270000,44730000,31450000,19400000,7670000,0,6080000,4600000
IASI,569440000,415960000,251100000,181720000,122950000,110430000,96550000,36400000,98080000,16150000,39330000
ILFOV,211030000,244870000,109560000,232140000,167100000,141740000,116420000,29470000,3090000,14900000,6790000
MARAMURES,362520000,209270000,150780000,111640000,92520000,79930000,55750000,33670000,0,7890000,14550000
MEHEDINTI,182950000,116820000,127860000,78380000,50470000,50850000,47110000,16640000,3180000,6300000,9160000
MURES,349180000,267330000,164120000,157650000,105910000,106240000,65550000,25540000,0,14980000,15050000
NEAMT,361230000,166240000,152920000,157460000,85170000,55620000,74130000,23100000,237564,11280000,7070000
OLT,305230000,146950000,134650000,148910000,150940000,44870000,47280000,24630000,0,7720000,10160000
PRAHOVA,424860000,312310000,275020000,235540000,169350000,103190000,73500000,48300000,35400000,25200000,13620000
SALAJ,184770000,103810000,99600000,66600000,46650000,39850000,58790000,4860000,289394,4470000,36380000
SATU MARE,270910000,171030000,115780000,110850000,70530000,57310000,33660000,27190000,19830000,9500000,0
SIBIU,275830000,289040000,135010000,95040000,75990000,102900000,99830000,37690000,330739,12910000,9250000
SUCEAVA,530580000,266930000,206300000,166180000,121300000,77920000,83940000,17520000,29380000,10620000,26180000
TELEORMAN,215660000,140350000,96860000,107300000,58930000,29410000,13990000,52920000,0,9160000,43880000
TIMIS,452310000,388630000,220040000,225720000,199150000,176390000,53990000,31460000,139690000,21840000,6890000
TULCEA,142850000,101960000,82960000,120270000,65490000,34370000,29790000,36200000,17280000,5250000,19530000
VALCEA,257520000,271840000,176990000,118350000,74310000,95260000,63460000,23140000,24770000,6570000,5670000
VASLUI,289990000,112370000,162320000,93730000,62320000,33580000,73020000,22970000,883542,9250000,9270000
VRANCEA,237710000,85590000,134110000,106350000,55100000,39980000,33360000,13970000,28280000,9210000,21330000
