,Judeţ,"Populatia
in 1992","Populaţia
în 2002","Populaţia
în 2006","Populaţia
în 2011","Populaţia
în 2016",1992-2002,2006 - 2002,2011 - 2006,2011-2016,2002-1992 p.a,2006-2002 p.a.,2011 - 2006 p.a.,2011 - 2016 p.a,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
42,Municipiul Bucureşti,2067545,1926334,1931236,1628426,2106144,-141211,4902,-302810,477718,-14121.1,1225.5,-60562,95543.6,2067545,2053424,2039303,2025182,2011061,1996940,1982818,1968697,1954576,1940455,1926334,1927560,1928785,1930011,1931236,1870674,1810112,1749550,1688988,1628426,1723970,1819513,1915057,2010600,2106144,2201688,2297231,2392775,2488318
41,Vrancea,393408,387632,393023,339510,391169,-5776,5391,-53513,51659,-577.6,1347.75,-10702.6,10331.8,393408,392830,392253,391675,391098,390520,389942,389365,388787,388210,387632,388980,390328,391675,393023,382320,371618,360915,350213,339510,349842,360174,370505,380837,391169,401501,411833,422164,432496
39,Vaslui,461374,455049,456686,393340,479815,-6325,1637,-63346,86475,-632.5,409.25,-12669.2,17295,461374,460742,460109,459477,458844,458212,457579,456947,456314,455682,455049,455458,455868,456277,456686,444017,431348,418678,406009,393340,410635,427930,445225,462520,479815,497110,514405,531700,548995
40,Vâlcea,438388,413247,413511,374240,403171,-25141,264,-39271,28931,-2514.1,66,-7854.2,5786.2,438388,435874,433360,430846,428332,425818,423303,420789,418275,415761,413247,413313,413379,413445,413511,405657,397803,389948,382094,374240,380026,385812,391599,397385,403171,408957,414743,420530,426316
38,Tulcea,270997,256492,251614,211622,244249,-14505,-4878,-39992,32627,-1450.5,-1219.5,-7998.4,6525.4,270997,269547,268096,266646,265195,263745,262294,260844,259393,257943,256492,255273,254053,252834,251614,243616,235617,227619,219620,211622,218147,224673,231198,237724,244249,250774,257300,263825,270351
37,Timiş,700033,677926,660966,654773,742886,-22107,-16960,-6193,88113,-2210.7,-4240,-1238.6,17622.6,700033,697822,695612,693401,691190,688980,686769,684558,682347,680137,677926,673686,669446,665206,660966,659727,658489,657250,656012,654773,672396,690018,707641,725263,742886,760509,778131,795754,813376
36,Teleorman,483840,436025,417183,369897,389433,-47815,-18842,-47286,19536,-4781.5,-4710.5,-9457.2,3907.2,483840,479059,474277,469496,464714,459933,455151,450370,445588,440807,436025,431315,426604,421894,417183,407726,398269,388811,379354,369897,373804,377711,381619,385526,389433,393340,397247,401155,405062
35,Suceava,701830,688435,705730,654870,743645,-13395,17295,-50860,88775,-1339.5,4323.75,-10172,17755,701830,700491,699151,697812,696472,695133,693793,692454,691114,689775,688435,692759,697083,701406,705730,695558,685386,675214,665042,654870,672625,690380,708135,725890,743645,761400,779155,796910,814665
34,Sibiu,452873,421724,423119,377273,464202,-31149,1395,-45846,86929,-3114.9,348.75,-9169.2,17385.8,452873,449758,446643,443528,440413,437299,434184,431069,427954,424839,421724,422073,422422,422770,423119,413950,404781,395611,386442,377273,394659,412045,429430,446816,464202,481588,498974,516359,533745
32,Satu Mare,400789,367281,367677,336117,390639,-33508,396,-31560,54522,-3350.8,99,-6312,10904.4,400789,397438,394087,390737,387386,384035,380684,377333,373983,370632,367281,367380,367479,367578,367677,361365,355053,348741,342429,336117,347021,357926,368830,379735,390639,401543,412448,423352,434257
